expense_id,amount,merchant,description,category
EXP123,30,Intel,core i7,technology
EXP124,20,Razer,gaming mouse,technology
EXP125,50,Samsung,ssd,technology
EXP126,15,Bike,ride,transport
EXP127,10,Indriver,taxi,transport
EXP128,25,Uber,cab,transport
EXP129,15,Public Transport,bus,transport
EXP130,50,Travel,flight,transport
EXP131,30,Subway,metro,transport
EXP132,20,Tuk Tuk,ride,transport
EXP133,15,Fruit,mango,shopping
EXP134,10,Cereal,breakfast,food
EXP135,50,ISP,internet,utilities
EXP136,20,Telecom,balance,utilities
EXP137,100,Viewsonic,monitor,technology
EXP138,50,Steelseries,earphone,technology
EXP139,30,JBL,pods,technology
EXP140,15,Kingston,flash drive,technology
EXP141,20,Crucial,ram,technology
EXP142,10,Belkin,usb-c,technology
EXP143,5,Apple,magsafe,technology
EXP144,40,Dominos,pizza,food
EXP145,15,Five Guys,burger,food
EXP146,25,Restaurant,steak,food
EXP147,100,Liquor,alcohol,food
EXP148,50,Levi's,jeans,shopping
EXP149,30,Nike,trainers,shopping
EXP150,200,Seiko,watch,shopping
EXP151,15,Lyft,ride,transport
EXP152,10,Tea,beverage,food
EXP153,100,Sennheiser,pro headphones,technology
EXP154,40,Corsair,keyboard,technology
EXP155,150,Harman,audio,technology
EXP156,200,Under Armour,gym wear,shopping
EXP157,12,Whole Foods,eggs,shopping
EXP158,50,BestBuy,gadgets,technology
EXP159,30,Auto,fuel,transport
EXP160,25,Chevron,gas,transport
EXP161,15,Wendys,fast food,food
EXP162,10,Local Bus,fair,transport
EXP163,20,Panera,soup,food
EXP164,15,HBO,sub,entertainment
EXP165,100,Origin,games,entertainment
EXP166,50,LG,monitor,technology
EXP167,120,Hospital,billing,health
EXP168,30,Uber,trip,transport
EXP169,200,Landlord,rent,other
EXP170,45,Utilities,electric,utilities
EXP171,15,Water,payment,utilities
EXP172,100,AMD,radeon,technology
EXP173,30,Ryzen,processor,technology
EXP174,20,Logitech,trackpad,technology
EXP175,50,WD,hard drive,technology
EXP176,15,Indriver,bike,transport
EXP177,10,Uber,moto,transport
EXP178,25,Lyft,car,transport
EXP179,15,Greyhound,bus ticket,transport
EXP180,50,JetBlue,flight ticket,transport
EXP181,30,Amtrak,train,transport
EXP182,20,Taxi,cab,transport
EXP183,15,Market,tomatoes,shopping
EXP184,10,Eggs,food,food
EXP185,50,Verizon,internet,utilities
EXP186,20,AT&T,bill,utilities
EXP187,100,HP,display,technology
EXP188,50,HyperX,gaming headset,technology
EXP189,30,Creative,soundbar,technology
EXP190,15,Sandisk,sd card,technology
EXP191,20,Corsair,memory kit,technology
EXP192,10,Anker,charging cable,technology
EXP193,5,Ugreen,splitter,technology
EXP194,40,Popeyes,fried chicken,food
EXP195,15,Shake Shack,burger,food
EXP196,25,Chipotle,burrito,food
EXP197,100,Pub,drinks,food
EXP198,50,Uniqlo,clothing,shopping
EXP199,30,Reebok,shoes,shopping
EXP200,200,Citizen,watch,shopping
